part.jns_resp|Jenis Responden|1. Laki-laki, 2.Perempuan tercatat hamil, 3. Prm tdk hamil
part.part02|Hubungan dg Kepala Rumah Tangga|1-11
part.part03|Keberadaan ART|1.ada,2.Tidak
part.part04a|Perubahan Keadaan ART|1. Meninggal, 2. Migrasi Keluar
part.part04b|Migrasi ke| 1. Luar Sleman, 2. Dalam Sleman
part.part04c|Tulis Alamat Lengkap|text
part.part04d|Tanggal Kejadian|tgl
part.part04dx|Tanggal Kejadian Tidak tahu|98
part.part05|Apakah ada perubahan status perkawinan|1,2
part.part05a|Status perkawinan saat ini|2,3,4,5,6
part.part05b|Tanggal Kejadian|tgl
part.part05bx|Tanggal Kejadian tidak tahu|98
part.part07|Apakah Kehamilan sudah berakhir ?|1,2
part.part08a|Kejadian Berakhirnya Kehamilan|1,2,3
part.part08b|Tanggal Kejadian|tgl
part.part08bx|Tanggal Kejadian tidak tahu|98
part.part08c|Umur Kehamilan (dlm minggu)|1-45
part.part09|Penolong Persalinan|1-7
part.part10|Metode Persalinan|1,2
part.part11a|Berat Badan Lahir (BBL) - gr|2000-5000
part.part11ax|Berat Badan Lahir tidak tahu|98
part.part11b|Panjang Badan (PB) - cm|30-60
part.part11bx|Panjang Badan tidak tahu|98
part.part11c|Apakah anak yg dilahirkan lebih dari satu?|1,98
part.part11ca1|(1) Berat Badan Lahir (BBL) - gr|2000-5000
part.part11ca1x|(1) Berat Badan Lahir tidak tahu|98
part.part11ca2|(1) Panjang Badan (PB) - cm|30-60
part.part11ca2x|(1) Panjang Badan tidak tahu|98
part.part11cb1|(1) Berat Badan Lahir (BBL) - gr|2000-5000
part.part11cb1x|(1) Berat Badan Lahir tidak tahu|98
part.part11cb2|(1) Panjang Badan (PB) - cm|30-60
part.part11cb2x|(1) Panjang Badan tidak tahu|98
part.part12|Apakah sejak kunjungan terakhir sampai saat ini pernah hamil ?|1,2
part.part13|Apakah saat ini masih hamil ?|1,2 (Ya, Tidak)
part.part14a|Kejadian Berakhirnya Kehamilan|1-3
part.part14b|Tanggal Kejadian Berakhirnya Kehamilan|tgl
part.part14bx|Tanggal Kejadian tidak tahun|98
part.part14c|Umur Kehamilan (dlm minggu)|1-45 (minggu)
part.part15|Penolong Persalinan|1-7
part.part16|Metode Persalinan|1,2
part.part17a|Berat Badan Lahir (BBL) - gr|2000-5000
part.part17ax|Berat badan tidak tahu|98
part.part17b|Panjang Badan (PB) - cm|30-60 (cm)
part.part17bx|Panjang badan tidak tahu|98
part.part17c|Apakah anak yg dilahirkan lebih dari satu?|1,98
part.part17ca1|(2) Berat Badan Lahir (BBL) - gr|2000-5000
